run_date,ticker,sector,company_news_score,company_news_available,company_headlines,sector_news_score,sector_news_available,sector_headlines,macro_score,macro_event,macro_available,score_adjustment
2026-03-11 23:26,JMG,FinServices,0.203,True,JM Group Limited Provides Update Regarding Trading Halt of its Securities | Xtract One Announces Fiscal 2026 Second Quarter Results | Xtract One Announces Fiscal 2026 Second Quarter Results,0.558,True,Neko Health eyes US expansion armed with new chief medical officer | Fraud Strategy launch | How a grassroots UK campaign sparked a multi-billion-dollar exit from public fossil fuel finance,-0.573,Geopolitical event detected,True,3,0
2026-03-11 23:26,DRX,Energy,,False,,-0.542,True,"Six voices on how to fight propaganda | U.K. Warns Oil Price Spike Could Stoke Inflation | Woodside, Pemex Start Drilling for Trion Development Project",-0.573,Geopolitical event detected,True,0,0
2026-03-11 23:26,GDWN,Industrials,,False,,,False,,-0.573,Geopolitical event detected,True,0,0
2026-03-11 23:26,HILS,Industrials,,False,,,False,,-0.573,Geopolitical event detected,True,0,0
2026-03-11 23:26,OXIG,Industrials,,False,,,False,,-0.573,Geopolitical event detected,True,0,0
2026-03-11 23:26,SSPG,Retail,,False,,0.554,True,"Histatrol (ALK-Abello) Market Research Report 2026: Epidemiology, Pipeline Analysis, Trends, Strategies, & Forecasts, 2020-2025, 2025-2030F, 2035F | Libmeldy (Kyowa Kirin) Market Research Report 2026: Epidemiology, Pipeline Analysis, Insights & Forecasts, 2020-2025, 2025-2030F, 2035F | Afluria (CSL Seqirus) Market Research Report 2026: Epidemiology, Pipeline Analysis, Market Insights & Forecasts, 2020-2025, 2025-2030F, 2035F",-0.573,Geopolitical event detected,True,0,0
2026-03-11 23:26,UEM,FinServices,-0.058,True,"U.S. CISA adds Ivanti EPM, SolarWinds, and Omnissa Workspace One flaws to its Known Exploited Vulnerabilities catalog | CISA Flags SolarWinds, Ivanti, and Workspace One Vulnerabilities as Actively Exploited | Hexnode IdP brings device-aware authentication and zero trust to enterprise access",0.558,True,Neko Health eyes US expansion armed with new chief medical officer | Fraud Strategy launch | How a grassroots UK campaign sparked a multi-billion-dollar exit from public fossil fuel finance,-0.573,Geopolitical event detected,True,-1,0
2026-03-11 23:26,MTO,Industrials,-0.296,True,Methanex Q4 Earnings Call Highlights,,False,,-0.573,Geopolitical event detected,True,-4,0
2026-03-11 23:26,RCP,FinServices,-0.276,True,Library advocate cites drag queen agenda as promoting ‘parental rights’ | Assessing lactate stability at the minimum lactate steady state velocity in male trained middle-distance runners | California joins 23 states in suing Trump administration over new tariffs | Show HN: Cruxible Core – Deterministic decision engine with receipts for agents,0.558,True,Neko Health eyes US expansion armed with new chief medical officer | Fraud Strategy launch | How a grassroots UK campaign sparked a multi-billion-dollar exit from public fossil fuel finance,-0.573,Geopolitical event detected,True,-4,0
2026-03-11 23:26,HSX,Insurance,,False,,0.039,True,"How a grassroots UK campaign sparked a multi-billion-dollar exit from public fossil fuel finance | Global Leaders Race to Shield Their Economies From War Shocks | Erik Visits an American Grave, Part 2,097",-0.573,Geopolitical event detected,True,0,0
