run_date,ticker,sector,score,entry_price,stop_price,atr,stop_mult,exit_price,exit_day,exit_reason,return_pct,prob,allocation_pct
2026-01-05 20:57,ELM,Chemicals,95,169.0,162.39,4.4098,1.5,171.0,5,friday_close,1.18,64.9,30.2
2026-01-05 20:57,DGE,ConsStaples,90,1634.0,1572.18,41.2114,1.5,1572.18,2,stop_hit_intraday,-3.78,63.8,23.6
2026-01-05 20:57,WEIR,Industrials,85,2922.0,2851.81,46.7965,1.5,3038.0,5,friday_close,3.97,62.8,17.6
2026-01-05 20:57,N91,FinServices,85,220.6,208.42,8.1218,1.5,224.4,5,friday_close,1.72,62.8,17.6
2026-01-05 20:57,BP,Energy,80,435.17,422.77,8.2716,1.5,422.77,2,stop_hit_intraday,-2.85,61.7,11.0
2026-01-12 20:57,3IN,FinServices,85,379.5,371.48,5.3499,1.5,379.0,5,friday_close,-0.13,62.8,21.6
2026-01-12 20:57,BOWL,Leisure,85,279.91,266.06,9.2327,1.5,278.5,5,friday_close,-0.5,62.8,21.6
2026-01-12 20:57,ITV,Media,85,81.3,78.64,1.776,1.5,79.5,5,friday_close,-2.21,62.8,21.6
2026-01-12 20:57,OXIG,Industrials,85,2150.0,2044.87,70.0879,1.5,2345.0,5,friday_close,9.07,62.8,21.6
2026-01-12 20:57,HSX,Insurance,80,1399.0,1363.91,23.3911,1.5,1510.0,5,friday_close,7.93,61.7,13.5
2026-01-19 20:57,SVT,Utilities,95,2874.0,2794.22,53.1897,1.5,2794.22,3,stop_hit_intraday,-2.78,64.9,36.4
2026-01-19 20:57,COST,Materials,95,164.0,157.46,4.3603,1.5,157.46,1,stop_hit_intraday,-3.99,64.9,36.4
2026-01-19 20:57,BLND,RealEstate,85,412.4,398.21,9.4618,1.5,409.8,5,friday_close,-0.63,62.8,21.2
2026-01-19 20:57,PRU,Insurance,75,1195.0,1161.83,22.1118,1.5,1161.83,2,stop_hit_intraday,-2.78,60.7,5.9
2026-01-19 20:57,IAG,Leisure,70,410.5,395.29,10.1418,1.5,413.77,5,friday_close,0.8,59.6,0.0
2026-01-26 20:57,ITV,Media,85,81.95,79.41,1.6963,1.5,82.85,5,friday_close,1.1,62.8,25.8
2026-01-26 20:57,ZIG,Industrials,85,376.0,358.18,11.8785,1.5,384.5,5,friday_close,2.26,62.8,25.8
2026-01-26 20:57,ABF,ConsStaples,80,1881.5,1820.13,40.9121,1.5,1820.13,1,stop_hit_intraday,-3.26,61.7,16.1
2026-01-26 20:57,AZN,Pharma,80,13750.59,13278.96,314.4216,1.5,14030.0,5,friday_close,2.03,61.7,16.1
2026-01-26 20:57,BLND,RealEstate,80,411.6,397.33,9.5119,1.5,415.0,5,friday_close,0.83,61.7,16.1
2026-02-02 20:57,LRE,Insurance,95,627.0,604.77,14.8209,1.5,644.0,5,friday_close,2.71,64.9,25.4
2026-02-02 20:57,PINT,FinServices,95,114.0,109.15,3.2319,1.5,113.0,5,friday_close,-0.88,64.9,25.4
2026-02-02 20:57,TRN,Industrials,90,210.2,197.44,8.5068,1.5,197.44,4,stop_hit_intraday,-6.07,63.8,19.8
2026-02-02 20:57,IHG,Leisure,85,140.4,134.36,4.0245,1.5,134.36,2,stop_hit_intraday,-4.3,62.8,14.7
2026-02-02 20:57,BWY,Materials,85,2744.0,2636.66,71.5626,1.5,2636.66,3,stop_hit_intraday,-3.91,62.8,14.7
2026-02-09 20:57,ELM,Chemicals,95,168.0,158.36,6.4254,1.5,169.2,5,friday_close,0.71,64.9,30.1
2026-02-09 20:57,ITRK,Industrials,85,4490.0,4375.91,76.0619,1.5,4375.91,3,stop_hit_intraday,-2.54,62.8,17.5
2026-02-09 20:57,SHEL,Energy,85,2822.64,2735.38,58.1744,1.5,2875.0,5,friday_close,1.85,62.8,17.5
2026-02-09 20:57,BRGE,FinServices,85,592.0,579.25,8.4995,1.5,584.0,5,friday_close,-1.35,62.8,17.5
2026-02-09 20:57,SRE,RealEstate,85,99.5,94.96,3.0257,1.5,100.84,5,friday_close,1.34,62.8,17.5
2026-02-16 20:57,BPT,FinServices,90,266.4,251.92,9.6563,1.5,251.92,5,stop_hit_intraday,-5.44,63.8,23.6
2026-02-16 20:57,ENOG,Energy,90,866.71,828.59,25.4136,1.5,903.0,5,friday_close,4.19,63.8,23.6
2026-02-16 20:57,RR,Industrials,85,1298.0,1244.18,35.8791,1.5,1327.0,5,friday_close,2.23,62.8,17.6
2026-02-16 20:57,APN,ConsStaples,85,241.5,229.78,7.8142,1.5,250.5,5,friday_close,3.73,62.8,17.6
2026-02-16 20:57,JUST,Insurance,85,217.0,215.69,0.8732,1.5,217.0,5,friday_close,0.0,62.8,17.6
2026-02-23 20:57,BLND,RealEstate,85,417.0,401.9,10.0699,1.5,401.9,5,stop_hit_intraday,-3.62,62.8,23.5
2026-02-23 20:57,INPP,FinServices,85,129.8,126.83,1.9818,1.5,133.0,5,friday_close,2.47,62.8,23.5
2026-02-23 20:57,WOSG,ConsStaples,85,507.0,481.79,16.8058,1.5,481.79,5,stop_hit_intraday,-4.97,62.8,23.5
2026-02-23 20:57,BCG,Tech,80,182.2,171.61,7.0573,1.5,181.6,5,friday_close,-0.33,61.7,14.7
2026-02-23 20:57,DRX,Energy,80,867.0,832.14,23.2388,1.5,901.5,5,friday_close,3.98,61.7,14.7
