run_date,ticker,sector,score,entry_price,original_stop,atr,exit_price,exit_day,exit_reason,peak_close,final_stop,stop_moved,return_pct,prob,allocation_pct
2025-03-03 20:32,BATS,ConsStaples,85,3101.96,3043.27,58.6914,3151.93,5,friday_close,3153.93,3043.27,False,1.61,62.8,20.0
2025-03-03 20:32,GSK,Pharma,85,1478.91,1449.41,29.5048,1557.88,5,friday_close,1557.88,1449.41,False,5.34,62.8,20.0
2025-03-03 20:32,IHG,Leisure,85,132.19,129.26,2.9337,129.26,1,stop_hit,132.19,129.26,False,-2.22,62.8,20.0
2025-03-03 20:32,AVON,Industrials,85,1481.85,1429.55,52.2977,1429.86,5,friday_close,1537.85,1429.55,False,-3.51,62.8,20.0
2025-03-03 20:32,PAG,FinServices,85,757.14,735.79,21.3515,735.79,1,stop_hit,757.14,735.79,False,-2.82,62.8,20.0
2025-03-10 20:32,SSE,Energy,80,1477.53,1446.39,31.1401,1516.51,5,friday_close,1523.51,1446.39,False,2.64,61.7,23.3
2025-03-10 20:32,BATS,ConsStaples,75,3151.93,3089.66,62.2685,3197.9,5,friday_close,3197.9,3089.66,False,1.46,60.7,21.3
2025-03-10 20:32,IPF,FinServices,75,134.89,130.12,4.7715,151.38,5,friday_close,151.38,130.12,False,12.22,60.7,21.3
2025-03-10 20:32,ITRK,Industrials,65,5168.26,5049.2,119.0578,5049.2,1,stop_hit,5168.26,5049.2,False,-2.3,58.6,17.1
2025-03-10 20:32,MNDI,Materials,65,1252.83,1217.26,35.5738,1264.33,5,friday_close,1264.33,1217.26,False,0.92,58.6,17.1
2025-03-17 20:32,BRSC,FinServices,90,1265.57,1245.55,20.0182,1257.58,5,friday_close,1273.57,1245.55,False,-0.63,63.8,20.3
2025-03-17 20:32,GRI,RealEstate,90,204.92,199.74,5.1785,203.42,5,friday_close,206.92,199.74,False,-0.73,63.8,20.3
2025-03-17 20:32,KNOS,Tech,90,703.79,671.48,32.3112,716.78,5,friday_close,736.78,671.48,False,1.85,63.8,20.3
2025-03-17 20:32,OXIG,Industrials,90,1903.78,1814.96,88.8282,1883.79,5,friday_close,1903.78,1814.96,False,-1.05,63.8,20.3
2025-03-17 20:32,BARC,Banking,85,294.79,284.54,10.2526,303.54,5,friday_close,304.84,284.54,False,2.97,62.8,18.8
2025-03-24 20:32,LWDB,FinServices,105,899.78,886.03,13.7501,886.03,5,stop_hit,903.78,886.03,False,-1.53,67.0,24.2
2025-03-24 20:32,NWG,Banking,95,462.62,447.8,14.8188,451.72,5,friday_close,466.52,447.8,False,-2.36,64.9,21.2
2025-03-24 20:32,RTO,Industrials,90,347.11,337.1,10.0144,347.51,5,friday_close,355.11,337.1,False,0.12,63.8,19.7
2025-03-24 20:32,ITH,Energy,85,136.81,130.13,6.6798,159.38,5,friday_close,163.37,130.13,False,16.5,62.8,18.2
