run_date,ticker,sector,score,entry_price,stop_price,atr,exit_price,exit_day,exit_reason,trigger_close,trigger_day,return_pct,prob,allocation_pct
2025-03-03 22:56,BATS,ConsStaples,85,3101.96,3043.27,58.6914,3151.93,5,friday_close,,,1.61,62.8,20.0
2025-03-03 22:56,GSK,Pharma,85,1478.91,1449.41,29.5048,1557.88,5,friday_close,,,5.34,62.8,20.0
2025-03-03 22:56,IHG,Leisure,85,132.19,129.26,2.9337,128.86,3,stop_next_open,127.45,2,-2.52,62.8,20.0
2025-03-03 22:56,AVON,Industrials,85,1481.85,1429.55,52.2977,1429.86,5,friday_close,,,-3.51,62.8,20.0
2025-03-03 22:56,PAG,FinServices,85,757.14,735.79,21.3515,709.16,2,stop_next_open,727.65,1,-6.34,62.8,20.0
2025-03-10 22:56,SSE,Energy,80,1477.53,1446.39,31.1401,1516.51,5,friday_close,,,2.64,61.7,23.3
2025-03-10 22:56,BATS,ConsStaples,75,3151.93,3089.66,62.2685,3197.9,5,friday_close,,,1.46,60.7,21.3
2025-03-10 22:56,IPF,FinServices,75,134.89,130.12,4.7715,151.38,5,friday_close,,,12.22,60.7,21.3
2025-03-10 22:56,ITRK,Industrials,65,5168.26,5049.2,119.0578,4954.33,2,stop_next_open,4958.33,1,-4.14,58.6,17.1
2025-03-10 22:56,MNDI,Materials,65,1252.83,1217.26,35.5738,1264.33,5,friday_close,,,0.92,58.6,17.1
2025-03-17 22:56,BRSC,FinServices,90,1265.57,1245.55,20.0182,1257.58,5,friday_close,,,-0.63,63.8,20.3
2025-03-17 22:56,GRI,RealEstate,90,204.92,199.74,5.1785,203.42,5,friday_close,,,-0.73,63.8,20.3
2025-03-17 22:56,KNOS,Tech,90,703.79,671.48,32.3112,716.78,5,friday_close,,,1.85,63.8,20.3
2025-03-17 22:56,OXIG,Industrials,90,1903.78,1814.96,88.8282,1883.79,5,friday_close,,,-1.05,63.8,20.3
2025-03-17 22:56,BARC,Banking,85,294.79,284.54,10.2526,303.54,5,friday_close,,,2.97,62.8,18.8
2025-03-24 22:56,LWDB,FinServices,105,899.78,886.03,13.7501,878.79,6,stop_next_open,878.79,5,-2.33,67.0,24.2
2025-03-24 22:56,NWG,Banking,95,462.62,447.8,14.8188,451.72,5,friday_close,,,-2.36,64.9,21.2
2025-03-24 22:56,RTO,Industrials,90,347.11,337.1,10.0144,347.51,5,friday_close,,,0.12,63.8,19.7
2025-03-24 22:56,ITH,Energy,85,136.81,130.13,6.6798,159.38,5,friday_close,,,16.5,62.8,18.2
2025-03-24 22:56,HWDN,Materials,80,741.78,723.78,17.9954,720.28,6,stop_next_open,718.78,5,-2.9,61.7,16.7
2025-03-31 22:56,CCR,ConsStaples,90,129.15,124.7,4.4467,120.55,5,stop_next_open,123.15,4,-6.66,63.8,23.1
2025-03-31 22:56,BHMG,FinServices,85,375.0,369.14,5.865,385.0,5,friday_close,,,2.67,62.8,21.4
2025-03-31 22:56,ENOG,Energy,80,874.33,836.07,38.2577,749.5,5,stop_next_open,788.95,4,-14.28,61.7,19.6
2025-03-31 22:56,HLN,Pharma,75,391.23,384.28,6.9471,370.73,5,stop_next_open,383.43,4,-5.24,60.7,17.9
2025-03-31 22:56,RKT,Materials,75,5443.6,5338.81,104.7913,5179.23,5,stop_next_open,5289.56,4,-4.86,60.7,17.9
2025-04-07 22:56,PINT,FinServices,68,91.98,89.52,2.4641,95.38,5,friday_close,,,3.7,59.2,22.1
2025-04-07 22:56,IMB,ConsStaples,65,2745.58,2678.84,66.7427,2919.49,5,friday_close,,,6.33,58.6,20.6
2025-04-07 22:56,PAF,Mining,65,39.54,37.15,2.3933,47.89,5,friday_close,,,21.11,58.6,20.6
2025-04-07 22:56,ADM,Insurance,63,2842.04,2775.07,66.9721,3127.84,5,friday_close,,,10.06,58.2,19.7
2025-04-07 22:56,BA,Industrials,58,1497.21,1432.3,64.9169,1692.68,5,friday_close,,,13.06,57.1,17.0
2025-04-14 22:56,HWDN,Materials,90,704.46,682.44,22.0194,718.46,5,friday_close,,,1.99,63.8,21.6
2025-04-14 22:56,GNC,ConsStaples,90,176.78,167.41,9.367,179.98,5,friday_close,,,1.81,63.8,21.6
2025-04-14 22:56,CURY,Retail,85,98.03,93.8,4.2304,100.08,5,friday_close,,,2.09,62.8,20.1
2025-04-14 22:56,HMSO,FinServices,80,242.25,233.1,9.1571,256.25,5,friday_close,,,5.78,61.7,18.3
2025-04-14 22:56,RHIM,Industrials,80,3032.93,2872.48,160.4538,3062.91,5,friday_close,,,0.99,61.7,18.3
2025-04-21 22:56,AVON,Industrials,90,1399.86,1320.58,79.2787,1345.87,5,friday_close,,,-3.86,63.8,20.9
