run_date,ticker,sector,score,price_p,target_p,stop_p,limit_p,upside_pct,downside_pct,prob,reward_risk,atr,allocated_gbp,allocation_pct,shares,signals,outcome_price_p,outcome_hit,outcome_return_pct,outcome_notes
2025-09-25 16:25,FSG,Banking,75,469.9138488769531,482.57,457.26,480.16,2.69,2.69,60.7,1.0,12.6587,,18.9,,RSI 58 | MACD rising | EMA20>EMA50>SMA200 | Stoch 60/56 | Mom +1.7%,479.91,NO,2.13,Backtest: Target missed. +2.1%
2025-09-25 16:25,MRO,Industrials,70,590.2000122070312,602.31,578.09,599.3,2.05,2.05,59.6,1.0,12.1131,,17.0,,RSI 50 | BB %B 0.28 | EMA20>EMA50>SMA200 | OBV rising | Mom -0.6%,629.2,YES,6.61,Backtest: Target reached. +6.6%
2025-10-02 16:25,FEV,FinServices,95,413.0,418.02,407.98,415.93,1.22,1.22,64.9,1.0,5.0221,,21.6,,RSI 60 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 69/52 | OBV rising | Mom +2.1%,423.0,YES,2.42,Backtest: Target reached. +2.4%
2025-10-02 16:25,MONY,Media,90,198.10000610351562,203.19,193.01,202.17,2.57,2.57,63.8,1.0,5.0948,,20.0,,RSI 47 | MACD bullish crossover | BB %B 0.39 | Stoch 26/17 | OBV rising | Mom +1.2%,196.6,NO,-0.76,Backtest: Target missed. -0.8%
2025-10-02 16:25,PETS,Retail,90,207.55441284179688,215.88,199.22,214.8,4.01,4.02,63.8,1.0,8.3296,,20.0,,RSI 43 | MACD bullish crossover | BB %B 0.40 | Stoch 56/55 | OBV rising | Mom +3.1%,204.76,NO,-1.35,Backtest: Target missed. -1.3%
2025-10-02 16:25,SCT,Tech,90,1578.635498046875,1618.58,1538.69,1610.49,2.53,2.53,63.8,1.0,39.9421,,20.0,,RSI 50 | MACD bullish crossover | BB %B 0.46 | Stoch 68/63 | OBV rising | Mom +0.5%,1595.63,NO,1.08,Backtest: Target missed. +1.1%
2025-10-02 16:25,SMIN,Industrials,85,2395.67822265625,2440.7,2350.66,2428.5,1.88,1.88,62.8,1.0,45.0187,,18.5,,RSI 60 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 50/41 | OBV rising,2437.67,NO,1.75,Backtest: Target missed. +1.8%
2025-10-09 16:25,CHRY,FinServices,95,123.19999694824219,126.58,119.82,125.95,2.74,2.74,64.9,1.0,3.3771,,25.0,,RSI 55 | MACD bullish crossover | EMA20>EMA50>SMA200 | Stoch 73/63 | OBV rising | Mom +1.1%,119.8,NO,-2.76,Backtest: Target missed. -2.8%
2025-10-09 16:25,IMI,Industrials,80,2322.0,2357.51,2286.49,2345.72,1.53,1.53,61.7,1.0,35.5089,,19.6,,RSI 58 | MACD rising | EMA20>EMA50>SMA200 | Stoch 75/66 | OBV rising | Mom -0.3%,2290.0,NO,-1.38,Backtest: Target missed. -1.4%
2025-10-09 16:25,BCG,Tech,80,307.9817199707031,319.08,296.89,317.48,3.6,3.6,61.7,1.0,11.0943,,19.6,,RSI 43 | MACD rising | BB %B 0.42 | Stoch 66/54 | OBV rising | Mom +1.1%,297.98,NO,-3.25,Backtest: Target missed. -3.2%
