run_date,ticker,sector,score,entry_price,target_price,stop_price,limit_price,exit_price,exit_day,exit_reason,return_pct,prob,allocation_pct
2025-03-03 20:11,BATS,ConsStaples,85,3101.96,3160.65,3043.27,3144.85,3151.93,5,friday_close,1.61,62.8,20.0
2025-03-03 20:11,GSK,Pharma,85,1478.91,1508.42,1449.41,1500.88,1557.88,5,friday_close,5.34,62.8,20.0
2025-03-03 20:11,IHG,Leisure,85,132.19,135.12,129.26,134.44,121.12,5,friday_close,-8.38,62.8,20.0
2025-03-03 20:11,AVON,Industrials,85,1481.85,1534.15,1429.55,1526.48,1429.86,5,friday_close,-3.51,62.8,20.0
2025-03-03 20:11,PAG,FinServices,85,757.14,778.49,735.79,774.6,714.16,5,friday_close,-5.68,62.8,20.0
2025-03-10 20:11,SSE,Energy,80,1477.53,1508.67,1446.39,1501.13,1516.51,5,friday_close,2.64,61.7,23.3
2025-03-10 20:11,BATS,ConsStaples,75,3151.93,3214.19,3089.66,3198.12,3197.9,5,friday_close,1.46,60.7,21.3
2025-03-10 20:11,IPF,FinServices,75,134.89,139.67,130.12,138.97,151.38,5,friday_close,12.22,60.7,21.3
2025-03-10 20:11,ITRK,Industrials,65,5168.26,5287.32,5049.2,5260.88,4896.35,5,friday_close,-5.26,58.6,17.1
2025-03-10 20:11,MNDI,Materials,65,1252.83,1288.41,1217.26,1281.97,1264.33,5,friday_close,0.92,58.6,17.1
2025-03-17 20:11,BRSC,FinServices,90,1265.57,1285.59,1245.55,1279.16,1257.58,5,friday_close,-0.63,63.8,20.3
2025-03-17 20:11,GRI,RealEstate,90,204.92,210.09,199.74,209.04,203.42,5,friday_close,-0.73,63.8,20.3
2025-03-17 20:11,KNOS,Tech,90,703.79,736.1,671.48,732.42,716.78,5,friday_close,1.85,63.8,20.3
2025-03-17 20:11,OXIG,Industrials,90,1903.78,1992.61,1814.96,1982.65,1883.79,5,friday_close,-1.05,63.8,20.3
2025-03-17 20:11,BARC,Banking,85,294.79,305.04,284.54,303.51,303.54,5,friday_close,2.97,62.8,18.8
2025-03-24 20:11,LWDB,FinServices,105,899.78,913.53,886.03,908.96,878.79,5,friday_close,-2.33,67.0,24.2
2025-03-24 20:11,NWG,Banking,95,462.62,477.44,447.8,475.05,451.72,5,friday_close,-2.36,64.9,21.2
2025-03-24 20:11,RTO,Industrials,90,347.11,357.13,337.1,355.34,347.51,5,friday_close,0.12,63.8,19.7
2025-03-24 20:11,ITH,Energy,85,136.81,143.49,130.13,142.77,159.38,5,friday_close,16.5,62.8,18.2
2025-03-24 20:11,HWDN,Materials,80,741.78,759.77,723.78,755.97,718.78,5,friday_close,-3.1,61.7,16.7
2025-03-31 20:11,CCR,ConsStaples,90,129.15,133.6,124.7,132.93,119.15,5,friday_close,-7.74,63.8,23.1
2025-03-31 20:11,BHMG,FinServices,85,375.0,380.86,369.14,378.96,385.0,5,friday_close,2.67,62.8,21.4
2025-03-31 20:11,ENOG,Energy,80,874.33,912.59,836.07,908.03,744.5,5,friday_close,-14.85,61.7,19.6
2025-03-31 20:11,HLN,Pharma,75,391.23,398.18,384.28,396.19,356.54,5,friday_close,-8.87,60.7,17.9
2025-03-31 20:11,RKT,Materials,75,5443.6,5548.39,5338.81,5520.65,4939.83,5,friday_close,-9.25,60.7,17.9
2025-04-07 20:11,PINT,FinServices,68,91.98,94.45,89.52,93.98,95.38,5,friday_close,3.7,59.2,22.1
2025-04-07 20:11,IMB,ConsStaples,65,2745.58,2812.33,2678.84,2798.27,2919.49,5,friday_close,6.33,58.6,20.6
2025-04-07 20:11,PAF,Mining,65,39.54,41.94,37.15,41.73,47.89,5,friday_close,21.11,58.6,20.6
2025-04-07 20:11,ADM,Insurance,63,2842.04,2909.01,2775.07,2894.46,3127.84,5,friday_close,10.06,58.2,19.7
