run_date,ticker,sector,score,entry_price,stop_price,atr,stop_mult,exit_price,exit_day,exit_reason,return_pct,prob,allocation_pct
2025-03-03 20:57,BATS,ConsStaples,85,3101.96,3013.92,58.6914,1.5,3151.93,5,friday_close,1.61,62.8,20.0
2025-03-03 20:57,GSK,Pharma,85,1478.91,1434.66,29.5048,1.5,1557.88,5,friday_close,5.34,62.8,20.0
2025-03-03 20:57,IHG,Leisure,85,132.19,127.79,2.9337,1.5,127.79,2,stop_hit,-3.33,62.8,20.0
2025-03-03 20:57,AVON,Industrials,85,1481.85,1403.41,52.2977,1.5,1429.86,5,friday_close,-3.51,62.8,20.0
2025-03-03 20:57,PAG,FinServices,85,757.14,725.11,21.3515,1.5,725.11,5,stop_hit,-4.23,62.8,20.0
2025-03-10 20:57,SSE,Energy,80,1477.53,1430.82,31.1401,1.5,1516.51,5,friday_close,2.64,61.7,52.6
2025-03-10 20:57,BATS,ConsStaples,75,3151.93,3058.52,62.2685,1.5,3197.9,5,friday_close,1.46,60.7,23.7
2025-03-10 20:57,IPF,FinServices,75,134.89,127.74,4.7715,1.5,151.38,5,friday_close,12.22,60.7,23.7
2025-03-10 20:57,ITRK,Industrials,65,5168.26,4989.67,119.0578,1.5,4989.67,1,stop_hit,-3.46,58.6,0.0
2025-03-10 20:57,MNDI,Materials,65,1252.83,1199.47,35.5738,1.5,1264.33,5,friday_close,0.92,58.6,0.0
2025-03-17 20:57,BRSC,FinServices,90,1265.57,1235.55,20.0182,1.5,1257.58,5,friday_close,-0.63,63.8,21.1
2025-03-17 20:57,GRI,RealEstate,90,204.92,197.15,5.1785,1.5,203.42,5,friday_close,-0.73,63.8,21.1
2025-03-17 20:57,KNOS,Tech,90,703.79,655.32,32.3112,1.5,716.78,5,friday_close,1.85,63.8,21.1
2025-03-17 20:57,OXIG,Industrials,90,1903.78,1770.54,88.8282,1.5,1883.79,5,friday_close,-1.05,63.8,21.1
2025-03-17 20:57,BARC,Banking,85,294.79,279.41,10.2526,1.5,303.54,5,friday_close,2.97,62.8,15.7
2025-03-24 20:57,LWDB,FinServices,105,899.78,879.16,13.7501,1.5,879.16,5,stop_hit,-2.29,67.0,34.2
2025-03-24 20:57,NWG,Banking,95,462.62,440.39,14.8188,1.5,451.72,5,friday_close,-2.36,64.9,24.1
2025-03-24 20:57,RTO,Industrials,90,347.11,332.09,10.0144,1.5,347.51,5,friday_close,0.12,63.8,18.8
2025-03-24 20:57,ITH,Energy,85,136.81,126.79,6.6798,1.5,159.38,5,friday_close,16.5,62.8,14.0
2025-03-24 20:57,HWDN,Materials,80,741.78,714.78,17.9954,1.5,718.78,5,friday_close,-3.1,61.7,8.7
2025-03-31 20:57,CCR,ConsStaples,90,129.15,122.48,4.4467,1.5,122.48,5,stop_hit,-5.16,63.8,38.1
2025-03-31 20:57,BHMG,FinServices,85,375.0,366.2,5.865,1.5,385.0,5,friday_close,2.67,62.8,28.4
2025-03-31 20:57,ENOG,Energy,80,874.33,816.94,38.2577,1.5,816.94,4,stop_hit,-6.56,61.7,17.7
2025-03-31 20:57,HLN,Pharma,75,391.23,380.81,6.9471,1.5,380.81,5,stop_hit,-2.66,60.7,8.0
2025-03-31 20:57,RKT,Materials,75,5443.6,5286.42,104.7913,1.5,5286.42,5,stop_hit,-2.89,60.7,8.0
2025-04-07 20:57,PINT,FinServices,68,91.98,88.29,2.4641,1.5,95.38,5,friday_close,3.7,59.2,0.0
2025-04-07 20:57,IMB,ConsStaples,65,2745.58,2645.47,66.7427,1.5,2919.49,5,friday_close,6.33,58.6,0.0
2025-04-07 20:57,PAF,Mining,65,39.54,35.95,2.3933,1.5,47.89,5,friday_close,21.11,58.6,0.0
2025-04-07 20:57,ADM,Insurance,63,2842.04,2741.58,66.9721,1.5,3127.84,5,friday_close,10.06,58.2,0.0
2025-04-07 20:57,BA,Industrials,58,1497.21,1399.84,64.9169,1.5,1692.68,5,friday_close,13.06,57.1,0.0
2025-04-14 20:57,HWDN,Materials,90,704.46,671.43,22.0194,1.5,723.46,3,friday_close,2.7,63.8,27.2
2025-04-14 20:57,GNC,ConsStaples,90,176.78,162.73,9.367,1.5,176.98,3,friday_close,0.11,63.8,27.2
2025-04-14 20:57,CURY,Retail,85,98.03,91.69,4.2304,1.5,99.58,3,friday_close,1.58,62.8,20.3
2025-04-14 20:57,HMSO,FinServices,80,242.25,228.52,9.1571,1.5,254.25,3,friday_close,4.95,61.7,12.6
2025-04-14 20:57,RHIM,Industrials,80,3032.93,2792.25,160.4538,1.5,3007.95,3,friday_close,-0.82,61.7,12.6
2025-04-21 20:57,AVON,Industrials,90,1399.86,1280.94,79.2787,1.5,1345.87,5,friday_close,-3.86,63.8,23.6
2025-04-21 20:57,SDP,FinServices,90,491.4,474.09,11.5451,1.5,501.9,5,friday_close,2.14,63.8,23.6
2025-04-21 20:57,CCEP,ConsStaples,85,6767.99,6503.57,176.2784,1.5,6568.05,5,friday_close,-2.95,62.8,17.6
2025-04-21 20:57,HSX,Insurance,85,1170.68,1115.2,36.9884,1.5,1115.2,4,stop_hit,-4.74,62.8,17.6
2025-04-21 20:57,LLOY,Banking,85,70.31,66.55,2.5065,1.5,72.89,5,friday_close,3.67,62.8,17.6
2025-04-28 20:57,SAGA,FinServices,85,138.8,126.09,8.4746,1.5,133.4,4,friday_close,-3.89,62.8,28.6
2025-04-28 20:57,SN,Pharma,80,997.92,960.32,25.067,1.5,1080.41,4,friday_close,8.27,61.7,17.8
2025-04-28 20:57,RS1,Industrials,80,513.8,482.45,20.9013,1.5,526.29,4,friday_close,2.43,61.7,17.8
2025-04-28 20:57,SSPG,Retail,80,143.27,134.59,5.7835,1.5,155.86,4,friday_close,8.79,61.7,17.8
2025-04-28 20:57,WOSG,ConsStaples,80,360.8,327.91,21.9291,1.5,349.4,4,friday_close,-3.16,61.7,17.8
2025-05-05 20:57,BATS,ConsStaples,75,3223.49,3130.75,61.8297,1.5,3130.75,5,stop_hit,-2.88,60.7,20.0
2025-05-05 20:57,CTEC,Pharma,75,261.98,252.44,6.3625,1.5,261.98,5,friday_close,0.0,60.7,20.0
2025-05-05 20:57,LSEG,FinServices,75,11564.41,11101.59,308.543,1.5,11294.42,5,friday_close,-2.33,60.7,20.0
2025-05-05 20:57,PRU,Insurance,75,819.15,781.84,24.8752,1.5,871.15,5,friday_close,6.35,60.7,20.0
2025-05-05 20:57,RR,Industrials,75,783.97,738.2,30.5148,1.5,784.97,5,friday_close,0.13,60.7,20.0
2025-05-12 20:57,HSX,Insurance,85,1149.91,1105.43,29.6482,1.5,1188.9,5,friday_close,3.39,62.8,47.1
2025-05-12 20:57,CTEC,Pharma,75,261.98,253.14,5.8954,1.5,275.78,5,friday_close,5.27,60.7,13.2
2025-05-12 20:57,LLOY,Banking,75,73.03,70.24,1.8599,1.5,75.83,5,friday_close,3.83,60.7,13.2
2025-05-12 20:57,DOM,Leisure,75,272.55,260.6,7.9667,1.5,267.35,5,friday_close,-1.91,60.7,13.2
2025-05-12 20:57,JII,FinServices,75,1025.77,991.29,22.9862,1.5,1081.76,5,friday_close,5.46,60.7,13.2
2025-05-19 20:57,CNA,Utilities,85,151.98,146.34,3.7616,1.5,158.58,4,friday_close,4.34,62.8,28.4
2025-05-19 20:57,REL,Media,85,4105.78,3989.04,77.825,1.5,4112.78,4,friday_close,0.17,62.8,28.4
2025-05-19 20:57,AZN,Pharma,80,10370.22,9921.51,299.1352,1.5,10434.21,4,friday_close,0.62,61.7,17.7
2025-05-19 20:57,BHMG,FinServices,80,393.5,382.82,7.1203,1.5,392.0,4,friday_close,-0.38,61.7,17.7
2025-05-19 20:57,ABF,ConsStaples,75,2086.38,2002.51,55.9134,1.5,2083.38,4,friday_close,-0.14,60.7,8.0
2025-05-26 20:57,III,FinServices,85,4116.11,3948.95,111.4425,1.5,4061.13,5,friday_close,-1.34,62.8,35.2
2025-05-26 20:57,TBCG,Banking,85,4577.0,4306.87,180.0914,1.5,4437.09,5,friday_close,-3.06,62.8,35.2
2025-05-26 20:57,NG,Utilities,75,1090.53,1056.41,22.7493,1.5,1056.41,3,stop_hit,-3.13,60.7,9.9
2025-05-26 20:57,ITV,Media,75,78.03,74.32,2.4778,1.5,77.78,5,friday_close,-0.32,60.7,9.9
2025-05-26 20:57,PNN,Energy,75,513.73,491.41,14.8815,1.5,508.23,5,friday_close,-1.07,60.7,9.9
2025-06-02 20:57,PAGE,Industrials,90,271.74,256.87,9.9138,1.5,275.94,5,friday_close,1.55,63.8,38.1
2025-06-02 20:57,TFIF,FinServices,85,110.54,108.18,1.5776,1.5,111.94,5,friday_close,1.27,62.8,28.4
2025-06-02 20:57,BAG,ConsStaples,80,693.96,668.63,16.8886,1.5,683.96,5,friday_close,-1.44,61.7,17.7
2025-06-02 20:57,BEZ,Insurance,75,948.0,914.5,22.3315,1.5,964.0,5,friday_close,1.69,60.7,8.0
2025-06-02 20:57,GAW,ConsDis,75,15506.49,14949.05,371.6217,1.5,16106.35,5,friday_close,3.87,60.7,8.0
2025-06-09 20:57,FCSS,FinServices,95,255.41,245.32,6.7273,1.5,258.91,5,friday_close,1.37,64.9,32.4
2025-06-09 20:57,FOUR,Media,90,3469.38,3258.89,140.3234,1.5,3519.37,5,friday_close,1.44,63.8,25.3
2025-06-09 20:57,WEIR,Industrials,85,2455.83,2387.47,45.5688,1.5,2535.82,5,friday_close,3.26,62.8,18.8
2025-06-09 20:57,GFRD,Materials,80,409.39,386.63,15.1762,1.5,411.89,5,friday_close,0.61,61.7,11.7
2025-06-09 20:57,MTRO,Banking,80,114.8,105.72,6.0514,1.5,132.8,5,friday_close,15.68,61.7,11.7
2025-06-16 20:57,NG,Utilities,100,1052.85,1027.95,16.5986,1.5,1076.85,5,friday_close,2.28,65.9,32.2
2025-06-16 20:57,PPET,FinServices,95,561.87,538.24,15.7555,1.5,558.92,5,friday_close,-0.53,64.9,26.8
2025-06-16 20:57,CCH,ConsStaples,85,3918.0,3829.24,59.172,1.5,3850.0,5,friday_close,-1.74,62.8,15.6
2025-06-16 20:57,DNLM,Retail,85,1178.72,1127.88,33.8884,1.5,1167.72,5,friday_close,-0.93,62.8,15.6
2025-06-16 20:57,AAF,Telecoms,80,177.06,170.52,4.3566,1.5,170.52,4,stop_hit,-3.69,61.7,9.7
2025-06-23 20:57,NG,Utilities,85,1076.85,1051.91,16.625,1.5,1061.35,5,friday_close,-1.44,62.8,23.5
2025-06-23 20:57,MAB,Leisure,85,283.0,269.61,8.9245,1.5,286.5,5,friday_close,1.24,62.8,23.5
2025-06-23 20:57,PFD,ConsStaples,85,201.47,192.95,5.6832,1.5,199.4,5,friday_close,-1.03,62.8,23.5
2025-06-23 20:57,GNS,Pharma,80,1959.75,1871.19,59.0359,1.5,2044.74,5,friday_close,4.34,61.7,14.7
2025-06-23 20:57,HTWS,Telecoms,80,118.0,112.19,3.8753,1.5,121.6,5,friday_close,3.05,61.7,14.7
2025-06-30 20:57,SN,Pharma,95,1112.91,1087.57,16.8899,1.5,1108.91,5,friday_close,-0.36,64.9,28.4
2025-06-30 20:57,GAMA,Telecoms,90,1137.91,1088.04,33.2511,1.5,1125.92,5,friday_close,-1.05,63.8,22.1
2025-06-30 20:57,III,FinServices,85,4119.54,3973.87,97.1107,1.5,4175.53,5,friday_close,1.36,62.8,16.5
2025-06-30 20:57,BEZ,Insurance,85,935.0,907.61,18.2587,1.5,907.61,2,stop_hit,-2.93,62.8,16.5
2025-06-30 20:57,HSBA,Banking,85,881.67,860.76,13.9393,1.5,893.57,5,friday_close,1.35,62.8,16.5
2025-07-07 20:57,EXPN,Industrials,95,3864.82,3760.83,69.3258,1.5,3852.82,5,friday_close,-0.31,64.9,34.4
2025-07-07 20:57,ASHM,FinServices,85,158.57,150.75,5.2111,1.5,170.06,5,friday_close,7.25,62.8,20.0
2025-07-07 20:57,BAG,ConsStaples,85,694.96,670.9,16.044,1.5,694.96,5,friday_close,0.0,62.8,20.0
2025-07-07 20:57,FAN,Materials,85,609.93,588.29,14.4227,1.5,614.92,5,friday_close,0.82,62.8,20.0
2025-07-07 20:57,GAW,ConsDis,75,16016.37,15513.84,335.0203,1.5,16077.21,5,friday_close,0.38,60.7,5.6
2025-07-14 20:57,ABF,ConsStaples,85,2087.59,2029.38,38.8013,1.5,2200.56,5,friday_close,5.41,62.8,20.5
2025-07-14 20:57,BA,Industrials,85,1910.36,1851.99,38.9118,1.5,1900.36,5,friday_close,-0.52,62.8,20.5
2025-07-14 20:57,LLOY,Banking,85,76.49,74.32,1.4425,1.5,78.81,5,friday_close,3.03,62.8,18.1
2025-07-14 20:57,NG,Utilities,85,1048.85,1022.35,17.667,1.5,1072.85,5,friday_close,2.29,62.8,20.5
